game_id,created_by,home_team_id,away_team_id,home_score,away_score
144,,1,10,7,4
189,,2,10,0,1
190,,2,10,6,4
191,,2,10,6,8
291,,3,10,3,0
292,,3,10,3,7
293,,3,10,4,14
346,,4,10,3,0
347,,4,10,4,6
348,,4,10,2,7
349,,4,10,4,0
419,,5,10,4,3
420,,5,10,2,1
421,,5,10,2,4
422,,5,10,2,1
423,,5,10,4,3
526,,6,10,1,3
527,,6,10,2,3
528,,6,10,7,4
541,,6,10,4,5
542,,6,10,0,3
543,,6,10,2,1
556,,6,10,5,1
557,,6,10,6,2
558,,6,10,4,14
559,,6,10,6,1
601,,7,10,2,8
602,,7,10,4,3
603,,7,10,4,18
661,,8,10,4,3
662,,8,10,2,3
663,,8,10,1,4
770,,9,10,10,0
771,,9,10,6,8
772,,9,10,3,6
907,,11,10,5,9
908,,11,10,5,9
909,,11,10,2,3
927,,11,10,5,6
928,,11,10,7,4
929,,11,10,5,19
930,,11,10,5,7
965,,11,10,1,5
966,,11,10,8,1
967,,11,10,3,12
975,,12,10,1,2
976,,12,10,6,7
977,,12,10,2,11
978,,12,10,14,7
1093,,13,10,4,0
1094,,13,10,9,0
1095,,13,10,3,2
1110,,13,10,4,11
1111,,13,10,3,2
1112,,13,10,0,6
1113,,13,10,3,8
1122,,13,10,1,4
1123,,13,10,2,3
1137,,14,10,5,3
1138,,14,10,2,1
1139,,14,10,8,6
1324,,16,10,4,1
1325,,16,10,7,6
1944,,24,10,3,2
1945,,24,10,4,2
1946,,24,10,0,4
2193,,27,10,5,3
2194,,27,10,4,5
2415,,29,10,6,1
2416,,29,10,12,9
2417,,29,10,2,4
22,,0,13,3,2
23,,0,13,4,2
49,,0,13,2,11
50,,0,13,5,4
51,,0,13,2,4
52,,0,13,6,2
78,,0,13,6,9
79,,0,13,6,2
80,,0,13,2,1
116,,1,13,1,2
117,,1,13,2,3
118,,1,13,6,4
227,,2,13,2,10
228,,2,13,3,12
229,,2,13,7,6
230,,2,13,2,6
270,,3,13,5,2
271,,3,13,3,2
272,,3,13,3,4
343,,4,13,4,5
344,,4,13,6,3
345,,4,13,5,4
441,,5,13,2,4
442,,5,13,12,0
443,,5,13,4,1
444,,5,13,6,0
500,,6,13,1,9
501,,6,13,1,5
502,,6,13,3,11
503,,6,13,2,3
538,,6,13,0,3
539,,6,13,4,5
540,,6,13,4,13
550,,6,13,5,3
551,,6,13,4,5
552,,6,13,7,6
604,,7,13,1,10
605,,7,13,4,1
606,,7,13,7,6
708,,8,13,4,2
709,,8,13,6,2
710,,8,13,6,7
711,,8,13,1,3
743,,9,13,6,5
744,,9,13,5,2
745,,9,13,9,2
815,,10,13,3,2
816,,10,13,14,8
817,,10,13,12,2
831,,10,13,13,2
832,,10,13,0,7
833,,10,13,2,1
834,,10,13,0,10
855,,10,13,2,1
856,,10,13,4,2
857,,10,13,7,5
894,,11,13,6,8
895,,11,13,6,3
896,,11,13,0,6
938,,11,13,0,13
939,,11,13,4,3
940,,11,13,0,5
962,,11,13,6,5
963,,11,13,0,7
964,,11,13,13,3
1043,,12,13,2,6
1044,,12,13,0,4
1045,,12,13,1,0
1134,,14,13,3,1
1135,,14,13,14,4
1136,,14,13,8,7
1605,,19,13,1,0
1606,,19,13,6,3
1745,,21,13,9,0
1768,,21,13,0,5
1769,,21,13,13,0
1899,,23,13,9,7
1900,,23,13,0,1
1901,,23,13,0,5
1957,,24,13,0,3
1958,,24,13,0,7
24,,0,14,1,2
25,,0,14,6,2
26,,0,14,0,5
27,,0,14,2,0
133,,1,14,5,3
